"Designator","Qty","Value","Footprint","Manufacturer","MPN","LCSC"
"A1","1","U.FL-R-SMT-1(80)","openrz67:RF-SMD_FRF05002-JSS103M","HRS(广濑)","U.FL-R-SMT-1(80)","C88374"
"BAT1,S3","2","B2B-PH-K-S(LF)(SN)","openrz67:CONN-TH_B2B-PH-K-S","JST","B2B-PH-K-S(LF)(SN)","C131337"
"C1,C2","2","1pF","openrz67:C0402","YAGEO(国巨)","CC0402CRNPO9BN1R0","C277493"
"C3,C4,C5,C6,C7","5","100nF","openrz67:C0402","muRata(村田)","GRM155R71H104KE14D","C77020"
"C8,C9","2","15pF","openrz67:C0402","muRata(村田)","GJM1555C1H150FB01D","C441742"
"C14,C25,C26,C29","4","1uF","openrz67:C0603","HRE(芯声)","CGA0603X5R105K500JT","C6119852"
"C15,C20,C21,C22,C23,C24","6","10uF","openrz67:C0603","SAMSUNG(三星)","CL10A106MA8NRNC","C96446"
"C30,C31","2","18pF","openrz67:C0402","muRata(村田)","GRM1555C1H180FA01D","C161534"
"D3","1","KT-0603R","openrz67:LED0603-RD","KENTO","KT-0603R","C2286"
"D4","1","XL-1608UBC-04","openrz67:LED0603-RD_BLUE","XINGLIGHT(成兴光)","XL-1608UBC-04","C965807"
"L1","1","3.9nH","openrz67:L0402","muRata(村田)","LQG15HS3N9S02D","C77109"
"L2","1","BLM15AG601SN1D","openrz67:L0402","muRata(村田)","BLM15AG601SN1D","C76884"
"L3","1","2.2uH","openrz67:IND-SMD_L7.1-W6.5-P5.60","TDK","SPM6530T-2R2M","C76855"
"LDO1","1","ME6211C33M5G-N","openrz67:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","MICRONE(南京微盟)","ME6211C33M5G-N","C82942"
"R4,R5","2","22Ω","openrz67:R0402","UNI-ROYAL(厚声)","0402WGF220JTCE","C25092"
"R6,R7,R8,R13,R14,R17,R20","7","10kΩ","openrz67:R0402","YAGEO(国巨)","RC0402FR-0710KL","C60490"
"R9,R10","2","5.1kΩ","openrz67:R0402","UNI-ROYAL(厚声)","0402WGF5101TCE","C25905"
"R11","1","100kΩ","openrz67:R0402","UNI-ROYAL(厚声)","0402WGF1003TCE","C25741"
"R12","1","1kΩ","openrz67:R0603","UNI-ROYAL(厚声)","0603WAJ0102T5E","C25585"
"R16","1","NCP18XH103F03RB","openrz67:R0603","muRata(村田)","NCP18XH103F03RB","C13564"
"R18","1","3kΩ","openrz67:R0402","UNI-ROYAL(厚声)","0402WGF3001TCE","C25784"
"R21,R22","2","220Ω","openrz67:R0402","UNI-ROYAL(厚声)","0402WGF2200TCE","C25091"
"S1,S2","2","B3U-1000P","openrz67:KEY-SMD_B3U-1000PM","OMRON(欧姆龙)","B3U-1000P","C231329"
"U1","1","ESP32-C3FH4","openrz67:QFN-32_L5.0-W5.0-P0.50-BL-EP3.7","ESPRESSIF(乐鑫)","ESP32-C3FH4","C2858491"
"U3","1","LGS5500EP","openrz67:ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP3.3","Legend-Si(棱晶半导体)","LGS5500EP","C5280699"
"U4","1","S4B-XH-A(LF)(SN)","openrz67:CONN-TH_S4B-XH-A-LF-SN","JST","S4B-XH-A(LF)(SN)","C157925"
"U5,U6","2","TLP172GM","openrz67:SMD-4_L4.6-W3.7-P2.54-LS7.0-BR","TOSHIBA(东芝)","TLP172GM(TPL,E","C261926"
"USB1","1","TYPE-C 16PIN 2MD(073)","openrz67:USB-C-SMD_TYPE-C-6PIN-2MD-073","SHOU HAN(首韩)","TYPE-C 16PIN 2MD(073)","C2765186"
"X1","1","40MHz","openrz67:CRYSTAL-SMD_4P-L2.0-W1.6-BL-2","YJX(雅晶鑫)","T201640MFBDE2X","C20885029"
"X2","1","32.768kHz","openrz67:CRYSTAL-SMD_L3.2-W1.5-1","YXC(扬兴晶振)","XKXGI-SUA-32.768K","C5213671"
