Ref,Val,Package,PosX,PosY,Rot,Side
"BAT1","S2B-PH-SM4-TB(LF)(SN)","CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN",9.600000,-4.450000,-90.000000,bottom
"A1","U.FL-R-SMT-1(80)","RF-SMD_FRF05002-JSS103M",9.038000,-19.634500,90.000000,top
"C1","1pF","C0402",11.003000,-20.257500,-90.000000,top
"C2","1pF","C0402",14.744500,-20.257500,-90.000000,top
"C3","100nF","C0402",19.764000,-21.114500,0.000000,top
"C4","100nF","C0402",19.785000,-19.910000,0.000000,top
"C5","100nF","C0402",15.951000,-16.611500,180.000000,top
"C6","100nF","C0402",26.305000,-12.867000,0.000000,top
"C7","100nF","C0402",25.663500,-16.563500,-90.000000,top
"C8","15pF","C0402",12.991000,-17.987000,180.000000,top
"C9","15pF","C0402",12.313500,-13.807000,180.000000,top
"C14","1uF","C0603",27.742500,-6.640500,-90.000000,top
"C15","10uF","C0603",15.900500,-18.034000,0.000000,top
"C20","10uF","C0603",9.779000,-2.286000,-90.000000,top
"C21","10uF","C0603",6.072000,-6.587500,90.000000,top
"C22","10uF","C0603",6.073000,-3.441000,-90.000000,top
"C23","10uF","C0603",15.113000,-9.906000,-90.000000,top
"C24","10uF","C0603",16.891000,-9.906000,-90.000000,top
"C25","1uF","C0603",29.210000,-12.039500,0.000000,top
"C26","1uF","C0603",29.210000,-17.526000,0.000000,top
"C27","10uF","C0603",44.064500,-19.965000,-90.000000,top
"C28","10uF","C0603",29.565500,-6.299000,90.000000,top
"C29","1uF","C0603",25.859500,-14.395000,180.000000,top
"C30","18pF","C0402",21.764500,-20.516500,90.000000,top
"C31","18pF","C0402",27.420000,-20.497500,90.000000,top
"D1","1N4148WT","SOD-523_L1.2-W0.8-LS1.6-RD",42.215000,-19.355000,90.000000,top
"D2","1N4148WT","SOD-523_L1.2-W0.8-LS1.6-RD",42.265500,-2.591000,-90.000000,top
"D3","KT-0603R","LED0603-RD",22.514500,-1.814000,-90.000000,top
"D4","XL-1608UBC-04","LED0603-RD_BLUE",24.224000,-1.814000,-90.000000,top
"K1","G6K-2F-Y DC3","RELAY-SMD_G6K-2F-Y",36.661500,-16.241500,90.000000,top
"K2","G6K-2F-Y DC3","RELAY-SMD_G6K-2F-Y",36.760000,-5.686500,-90.000000,top
"L1","3.9nH","L0402",12.875500,-19.709500,0.000000,top
"L2","BLM15AG601SN1D","L0402",16.032000,-15.402500,0.000000,top
"L3","2.2uH","IND-SMD_L7.1-W6.5-P5.60",10.551000,-7.865000,-90.000000,top
"LDO1","ME6211C33M5G-N","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",29.061000,-14.800000,180.000000,top
"Q1","DTC114EKAT146","SOT-346_L2.9-W1.6-P1.90-LS2.8-TR-CW",30.408000,-20.119500,180.000000,top
"Q2","DTC114EKAT146","SOT-346_L2.9-W1.6-P1.90-LS2.8-TR-CW",30.327500,-9.499500,180.000000,top
"R4","22Ω","R0402",7.956500,-14.967500,180.000000,top
"R5","22Ω","R0402",7.956500,-13.795500,180.000000,top
"R6","10kΩ","R0402",20.067500,-10.373500,180.000000,top
"R7","10kΩ","R0402",27.742000,-9.343000,90.000000,top
"R8","10kΩ","R0402",26.939500,-16.439500,-90.000000,top
"R9","5.1kΩ","R0402",7.956500,-12.553000,0.000000,top
"R10","5.1kΩ","R0402",7.956500,-16.141500,0.000000,top
"R11","100kΩ","R0402",12.818500,-1.819000,-90.000000,top
"R12","1kΩ","R0603",11.436500,-2.232500,-90.000000,top
"R13","10kΩ","R0402",15.556000,-0.874500,0.000000,top
"R14","10kΩ","R0402",17.459000,-1.311000,90.000000,top
"R16","NCP18XH103F03RB","R0603",19.822000,-1.029500,0.000000,top
"R17","10kΩ","R0402",22.140000,-4.951000,-90.000000,top
"R18","3kΩ","R0402",23.375000,-4.946000,90.000000,top
"R20","10kΩ","R0402",20.044000,-9.175500,0.000000,top
"S1","B3U-1000P","KEY-SMD_B3U-1000PM",22.711000,-8.619500,90.000000,top
"S2","B3U-1000P","KEY-SMD_B3U-1000PM",25.511500,-8.614500,-90.000000,top
"S3","B2B-PH-K-S(LF)(SN)","CONN-TH_B2B-PH-K-S",28.713500,-2.040000,180.000000,top
"U1","ESP32-C3FH4","QFN-32_L5.0-W5.0-P0.50-BL-EP3.7",21.257000,-14.419500,0.000000,top
"U3","LGS5500EP","ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP3.3",17.702000,-5.009500,0.000000,top
"U4","S4B-XH-A(LF)(SN)","CONN-TH_S4B-XH-A-LF-SN",44.300500,-11.000000,-90.000000,top
"USB1","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-6PIN-2MD-073",3.607000,-13.259000,-90.000000,top
"X1","40MHz","CRYSTAL-SMD_4P-L2.0-W1.6-BL-2",12.767500,-15.847500,0.000000,top
"X2","32.768kHz","CRYSTAL-SMD_L3.2-W1.5-1",24.559500,-20.476500,180.000000,top
